calories,carbs,protein,total_fat,sat_fat,trans_fat,sodium,sugar,fiber,,,,,
130,33,0,0,0,0,5,31,0,lemonade(sm),,,,
30,8,0,0,0,0,5,5,0,dietlemonade(sm),,,,
25,3,0,1.5,0,0,470,2,0,lightitalian,,,,
80,10,0,4,0.5,0,360,9,0,lightbalsamicvinaigrette,,,,
90,22,0,0,0,0,330,20,1,honeymustard,,,,
60,9,0,3,0,0,390,7,1,chililimevinaigrette,,,,
280,2,1,29,5,0,460,1,0,garlic&herbranch,,,,
290,3,1,31,4.5,0,640,1,0,creamysalsa,,,,
310,3,1,32,5,0,520,2,0,avocadolimeranch,,,,
230,16,0,19,3,0,460,15,0,applecidervinaigrette,,,,
140,6,0,13,2,0,180,6,0,chickfilaÅlasauce,,,,
110,13,0,6,1,0,210,13,0,polynesiansauce,,,,
45,11,0,0,0,0,150,10,0,honeymustardsauce,,,,
140,1,0,14,2.5,0,230,1,0,garlic&herbranchsauce,,,,
30,1,0,2.5,0,0,540,0,0,zestybuffalosauce,,,,
45,10,0,0,0,0,190,9,0,barbequesauce,,,,
45,10,0,0,0,0,380,10,0,sweet&spicysrirachasauce,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
